,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,FamilySize,IsAlone
0,0,3,22.0,1,0,0.014151057562208049,1,0,1,2,0
1,1,1,38.0,1,0,0.13913573538264068,0,0,0,2,0
2,1,3,26.0,0,0,0.015468569817999833,0,0,1,1,1
3,1,1,35.0,1,0,0.10364429745562033,0,0,1,2,0
4,0,3,35.0,0,0,0.015712553569072387,1,0,1,1,1
5,0,3,28.0,0,0,0.01650950209357577,1,1,0,1,1
6,0,1,54.0,0,0,0.10122885832000206,1,0,1,1,1
7,0,3,2.0,3,1,0.04113566043083236,1,0,1,5,0
8,1,3,27.0,0,2,0.021730754366528396,0,0,1,3,0
9,1,2,14.0,1,0,0.058694292654020104,0,0,0,2,0
10,1,3,4.0,1,1,0.03259622914329302,0,0,1,3,0
11,1,1,58.0,0,0,0.051822148727810165,0,0,1,1,1
12,0,3,20.0,0,0,0.015712553569072387,1,0,1,1,1
13,0,3,39.0,1,5,0.06104473451835265,1,0,1,7,0
14,0,3,14.0,0,0,0.015330377421392339,0,0,1,1,1
15,1,2,55.0,0,0,0.03122992013728673,0,0,1,1,1
16,0,3,2.0,4,1,0.05684821399990475,1,1,0,6,0
17,1,2,28.0,0,0,0.025374310111545468,1,0,1,1,1
18,0,3,31.0,1,0,0.03513366015444757,0,0,1,2,0
19,1,3,28.0,0,0,0.014102260811993537,0,0,0,1,1
20,0,2,35.0,0,0,0.050748620223090936,1,0,1,1,1
21,1,2,34.0,0,0,0.025374310111545468,1,0,1,1,1
22,1,3,15.0,0,0,0.015671954672893913,0,1,0,1,1
23,1,1,28.0,0,0,0.06929138530460494,1,0,1,1,1
24,0,3,8.0,3,1,0.04113566043083236,0,0,1,5,0
25,1,3,38.0,1,5,0.06126431989431795,0,0,1,7,0
26,0,3,28.0,0,0,0.014102260811993537,1,0,0,1,1
27,0,1,19.0,3,2,0.5133418122566507,1,0,1,6,0
28,1,3,28.0,0,0,0.01537917417160685,0,1,0,1,1
29,0,3,28.0,0,0,0.015411575213749286,1,0,1,1,1
30,0,1,40.0,0,0,0.05410739813385612,1,0,0,1,1
31,1,1,28.0,1,0,0.2859895551532101,0,0,0,2,0
32,1,3,28.0,0,0,0.015126992566498259,0,1,0,1,1
33,0,2,66.0,0,0,0.020494635090094415,1,0,1,1,1
34,0,1,28.0,1,0,0.16038672010106003,1,0,0,2,0
35,0,1,42.0,1,0,0.10149724044618187,1,0,1,2,0
36,1,3,28.0,0,0,0.014110458666029575,1,0,0,1,1
37,0,3,21.0,0,0,0.015712553569072387,1,0,1,1,1
38,0,3,18.0,2,0,0.03513366015444757,0,0,1,3,0
39,1,3,14.0,1,0,0.021942337075458514,0,0,0,2,0
40,0,3,40.0,1,0,0.018493968331299484,0,0,1,2,0
41,0,2,27.0,1,0,0.04098927018018883,0,0,1,2,0
42,0,3,28.0,0,0,0.015411575213749286,1,0,0,1,1
43,1,2,3.0,1,2,0.08115719346076702,0,0,0,4,0
44,1,3,19.0,0,0,0.01537917417160685,0,1,0,1,1
45,0,3,28.0,0,0,0.015712553569072387,1,0,1,1,1
46,0,3,28.0,1,0,0.030253985132996517,1,1,0,2,0
47,1,3,28.0,0,0,0.015126992566498259,0,1,0,1,1
48,0,3,28.0,2,0,0.04231498029001666,1,0,0,3,0
49,0,3,18.0,1,0,0.034743286152731485,0,0,1,2,0
50,0,3,7.0,4,1,0.07746484096553544,1,0,1,6,0
51,0,3,21.0,0,0,0.01522458606692728,1,0,1,1,1
52,1,1,49.0,1,0,0.1497654242623688,0,0,0,2,0
53,1,2,29.0,1,0,0.050748620223090936,0,0,1,2,0
54,0,1,65.0,0,1,0.1209753416358076,1,0,0,2,0
55,1,1,28.0,0,0,0.06929138530460494,1,0,1,1,1
56,1,2,21.0,0,0,0.020494635090094415,0,0,1,1,1
57,0,3,28.5,0,0,0.014110458666029575,1,0,0,1,1
58,1,2,5.0,1,2,0.05416439273810667,0,0,1,4,0
59,0,3,11.0,5,2,0.09154270340242172,1,0,1,8,0
60,0,3,22.0,0,0,0.014110458666029575,1,0,0,1,1
61,1,1,38.0,0,0,0.15614960068643363,0,0,0,1,1
62,0,1,45.0,1,0,0.16293234896625058,1,0,1,2,0
63,0,3,4.0,3,2,0.05445717323939373,1,0,1,6,0
64,0,1,28.0,0,0,0.05410739813385612,1,0,0,1,1
65,1,3,28.0,1,1,0.029757819776815374,1,0,0,3,0
66,1,2,29.0,0,0,0.020494635090094415,0,0,1,1,1
67,0,3,19.0,0,0,0.015923941091001644,1,0,1,1,1
68,1,3,17.0,4,2,0.015468569817999833,0,0,1,7,0
69,0,3,26.0,2,0,0.016908073949327893,1,0,1,3,0
70,0,2,32.0,0,0,0.020494635090094415,1,0,1,1,1
71,0,3,16.0,5,2,0.09154270340242172,0,0,1,8,0
72,0,2,21.0,0,0,0.1434624456306609,1,0,1,1,1
73,0,3,26.0,1,0,0.028212719478023115,1,0,0,2,0
74,1,3,32.0,0,0,0.11027245763075773,1,0,1,1,1
75,0,3,25.0,0,0,0.014931805565640218,1,0,1,1,1
76,0,3,28.0,0,0,0.015411575213749286,1,0,1,1,1
77,0,3,28.0,0,0,0.015712553569072387,1,0,1,1,1
78,1,2,0.83,0,2,0.056604230248832196,1,0,1,3,0
79,1,3,30.0,0,0,0.024349578357040744,0,0,1,1,1
80,0,3,22.0,0,0,0.017566830077223785,1,0,1,1,1
81,1,3,29.0,0,0,0.018542765081513996,1,0,1,1,1
82,1,3,28.0,0,0,0.015200187691820024,0,1,0,1,1
83,0,1,28.0,0,0,0.09193307740413781,1,0,1,1,1
84,1,2,17.0,0,0,0.020494635090094415,0,0,1,1,1
85,1,3,33.0,3,0,0.030937139635999665,0,0,1,4,0
86,0,3,16.0,1,3,0.06709553154495196,1,0,1,5,0
87,0,3,28.0,0,0,0.015712553569072387,1,0,1,1,1
88,1,1,23.0,3,2,0.5133418122566507,0,0,1,6,0
89,0,3,24.0,0,0,0.015712553569072387,1,0,1,1,1
90,0,3,29.0,0,0,0.015712553569072387,1,0,1,1,1
91,0,3,20.0,0,0,0.015330377421392339,1,0,1,1,1
92,0,1,46.0,1,0,0.11940564777490723,1,0,1,2,0
93,0,3,26.0,1,2,0.04015972542654215,1,0,1,4,0
94,0,3,59.0,0,0,0.014151057562208049,1,0,1,1,1
95,0,3,28.0,0,0,0.015712553569072387,1,0,1,1,1
96,0,1,71.0,0,0,0.06764049365134761,1,0,0,1,1
97,1,1,23.0,0,1,0.12366716556464086,1,0,0,2,0
98,1,2,34.0,0,1,0.044893010197349675,0,0,1,2,0
99,0,2,34.0,1,0,0.050748620223090936,1,0,1,2,0
100,0,3,28.0,0,0,0.015411575213749286,0,0,1,1,1
101,0,3,28.0,0,0,0.015411575213749286,1,0,1,1,1
102,0,1,21.0,0,1,0.15085515328815924,1,0,1,2,0
103,0,3,33.0,0,0,0.016891873428256675,1,0,1,1,1
104,0,3,37.0,2,0,0.015468569817999833,1,0,1,3,0
105,0,3,28.0,0,0,0.015411575213749286,1,0,1,1,1
106,1,3,21.0,0,0,0.014931805565640218,0,0,1,1,1
107,1,3,28.0,0,0,0.015175789316712771,1,0,1,1,1
108,0,3,38.0,0,0,0.015411575213749286,1,0,1,1,1
109,1,3,28.0,1,0,0.04713766070721715,0,1,0,2,0
110,0,1,47.0,0,0,0.10149724044618187,1,0,1,1,1
111,0,3,14.5,1,0,0.028212719478023115,0,0,0,2,0
112,0,3,22.0,0,0,0.015712553569072387,1,0,1,1,1
113,0,3,20.0,1,0,0.019177122834302632,0,0,1,2,0
114,0,3,17.0,0,0,0.028220722145058292,0,0,0,1,1
115,0,3,21.0,0,0,0.015468569817999833,1,0,1,1,1
116,0,3,70.5,0,0,0.015126992566498259,1,1,0,1,1
117,0,2,29.0,1,0,0.04098927018018883,1,0,1,2,0
118,0,1,24.0,0,1,0.4831284260198326,1,0,0,2,0
119,0,3,2.0,4,2,0.06104473451835265,0,0,1,7,0
120,0,2,21.0,2,0,0.1434624456306609,1,0,1,3,0
121,0,3,28.0,0,0,0.015712553569072387,1,0,1,1,1
122,0,2,32.5,1,0,0.058694292654020104,1,0,0,2,0
123,1,2,32.5,0,0,0.025374310111545468,0,0,1,1,1
124,0,1,54.0,0,1,0.15085515328815924,1,0,1,2,0
125,1,3,12.0,1,0,0.021942337075458514,1,0,0,2,0
126,0,3,28.0,0,0,0.015126992566498259,1,1,0,1,1
127,1,3,24.0,0,0,0.01393967004027879,1,0,1,1,1
128,1,3,28.0,1,1,0.04364049521284362,0,0,0,3,0
129,0,3,45.0,0,0,0.013614293309848433,1,0,1,1,1
130,0,3,33.0,0,0,0.015411575213749286,1,0,0,1,1
131,0,3,20.0,0,0,0.013760683560491965,1,0,1,1,1
132,0,3,47.0,1,0,0.028302115124416098,0,0,1,2,0
133,1,2,29.0,1,0,0.050748620223090936,0,0,1,2,0
134,0,2,25.0,0,0,0.025374310111545468,1,0,1,1,1
135,0,2,23.0,0,0,0.02936744577509929,1,0,0,1,1
136,1,1,19.0,0,2,0.051301584996521765,0,0,1,3,0
137,0,1,37.0,1,0,0.10364429745562033,1,0,1,2,0
138,0,3,16.0,0,0,0.01798980030808316,1,0,1,1,1
139,0,1,24.0,0,0,0.15458810467956932,1,0,0,1,1
140,0,3,28.0,0,2,0.029757819776815374,0,0,0,3,0
141,1,3,22.0,0,0,0.015126992566498259,0,0,1,1,1
142,1,3,24.0,1,0,0.030937139635999665,0,0,1,2,0
143,0,3,19.0,0,0,0.013175122557917838,1,1,0,1,1
144,0,2,18.0,0,0,0.022446505098674838,1,0,1,1,1
145,0,2,19.0,1,1,0.07173122281533045,1,0,1,3,0
146,1,3,27.0,0,0,0.015216388212891242,1,0,1,1,1
147,0,3,9.0,2,2,0.06709553154495196,0,0,1,5,0
148,0,2,36.5,0,2,0.050748620223090936,1,0,1,3,0
149,0,2,42.0,0,0,0.025374310111545468,1,0,1,1,1
150,0,2,51.0,0,0,0.02444717185746977,1,0,1,1,1
151,1,1,22.0,1,0,0.12999454257145598,0,0,1,2,0
152,0,3,55.5,0,0,0.015712553569072387,1,0,1,1,1
153,0,3,40.5,0,2,0.028302115124416098,1,0,1,3,0
154,0,3,28.0,0,0,0.014273049437744325,1,0,1,1,1
155,0,1,51.0,0,1,0.11980421963065935,1,0,0,2,0
156,1,3,16.0,0,0,0.015094396337354966,0,1,0,1,1
157,0,3,30.0,0,0,0.015712553569072387,1,0,1,1,1
158,0,3,28.0,0,0,0.016908073949327893,1,0,1,1,1
159,0,3,28.0,8,2,0.13575255909676825,1,0,1,11,0
160,0,3,44.0,0,1,0.031425107138144774,1,0,1,2,0
161,1,2,40.0,0,0,0.030741952635141623,0,0,1,1,1
162,0,3,26.0,0,0,0.015175789316712771,1,0,1,1,1
163,0,3,17.0,0,0,0.016908073949327893,1,0,1,1,1
164,0,3,1.0,4,1,0.07746484096553544,1,0,1,6,0
165,1,3,9.0,0,2,0.04006213192611313,1,0,1,3,0
166,1,1,28.0,0,1,0.10735285047192313,0,0,1,2,0
167,0,3,45.0,1,4,0.05445717323939373,0,0,1,6,0
168,0,1,28.0,0,0,0.050602229972447406,1,0,1,1,1
169,0,3,28.0,0,0,0.11027245763075773,1,0,1,1,1
170,0,1,61.0,0,0,0.06538764528744409,1,0,1,1,1
171,0,3,4.0,4,1,0.05684821399990475,1,1,0,6,0
172,1,3,1.0,1,1,0.021730754366528396,0,0,1,3,0
173,0,3,21.0,0,0,0.015468569817999833,1,0,1,1,1
174,0,1,56.0,0,0,0.05991421140938287,1,0,0,1,1
175,0,3,18.0,1,1,0.015330377421392339,1,0,1,3,0
176,0,3,28.0,3,1,0.049707687947515,1,0,1,5,0
177,0,1,50.0,0,0,0.05604306762136532,0,0,0,1,1
178,0,2,30.0,0,0,0.025374310111545468,1,0,1,1,1
179,0,3,36.0,0,0,0.0,1,0,1,1,1
180,0,3,28.0,8,2,0.13575255909676825,0,0,1,11,0
181,0,2,28.0,0,0,0.02937564362913533,1,0,0,1,1
182,0,3,9.0,4,2,0.06126431989431795,1,0,1,7,0
183,1,2,1.0,2,1,0.07612293033463641,1,0,1,4,0
184,1,3,4.0,0,2,0.04298993693898376,0,0,1,3,0
185,0,1,28.0,0,0,0.09759350042902103,1,0,1,1,1
186,1,3,28.0,1,0,0.030253985132996517,0,1,0,2,0
187,1,1,45.0,0,0,0.051822148727810165,1,0,1,1,1
188,0,3,40.0,1,1,0.030253985132996517,1,1,0,3,0
189,0,3,36.0,0,0,0.015411575213749286,1,0,1,1,1
190,1,2,32.0,0,0,0.025374310111545468,0,0,1,1,1
191,0,2,19.0,0,0,0.025374310111545468,1,0,1,1,1
192,1,3,19.0,1,0,0.015330377421392339,0,0,1,2,0
193,1,2,3.0,1,1,0.050748620223090936,1,0,1,3,0
194,1,1,44.0,0,0,0.05410739813385612,0,0,0,1,1
195,1,1,58.0,0,0,0.2859895551532101,0,0,0,1,1
196,0,3,28.0,0,0,0.015126992566498259,1,1,0,1,1
197,0,3,42.0,0,1,0.01640390592611157,1,0,1,2,0
198,1,3,28.0,0,0,0.015126992566498259,0,1,0,1,1
199,0,2,24.0,0,0,0.025374310111545468,0,0,1,1,1
200,0,3,28.0,0,0,0.018542765081513996,1,0,1,1,1
201,0,3,28.0,8,2,0.13575255909676825,1,0,1,11,0
202,0,3,34.0,0,0,0.012678957201736696,1,0,1,1,1
203,0,3,45.5,0,0,0.014102260811993537,1,0,0,1,1
204,1,3,18.0,0,0,0.015712553569072387,1,0,1,1,1
205,0,3,2.0,0,1,0.02042143996477265,0,0,1,2,0
206,0,3,32.0,1,0,0.030937139635999665,1,0,1,2,0
207,1,3,26.0,0,0,0.036670757786204655,1,0,0,1,1
208,1,3,16.0,0,0,0.015126992566498259,0,1,0,1,1
209,1,1,40.0,0,0,0.060507970265993034,1,0,0,1,1
210,0,3,24.0,0,0,0.013760683560491965,1,0,1,1,1
211,1,2,35.0,0,0,0.04098927018018883,0,0,1,1,1
212,0,3,22.0,0,0,0.014151057562208049,1,0,1,1,1
213,0,2,30.0,0,0,0.025374310111545468,1,0,1,1,1
214,0,3,28.0,1,0,0.015126992566498259,1,1,0,2,0
215,1,1,31.0,1,0,0.22109807522194713,0,0,0,2,0
216,1,3,27.0,0,0,0.015468569817999833,0,0,1,1,1
217,0,2,42.0,1,0,0.05270049023167135,1,0,1,2,0
218,1,1,32.0,0,0,0.14891148113361488,0,0,0,1,1
219,0,2,30.0,0,0,0.020494635090094415,1,0,1,1,1
220,1,3,16.0,0,0,0.015712553569072387,1,0,1,1,1
221,0,2,27.0,0,0,0.025374310111545468,1,0,1,1,1
222,0,3,51.0,0,0,0.015712553569072387,1,0,1,1,1
223,0,3,28.0,0,0,0.015411575213749286,1,0,1,1,1
224,1,1,38.0,1,0,0.17566830077223786,1,0,1,2,0
225,0,3,22.0,0,0,0.018249984580226933,1,0,1,1,1
226,1,2,19.0,0,0,0.020494635090094415,1,0,1,1,1
227,0,3,20.5,0,0,0.014151057562208049,1,0,1,1,1
228,0,2,18.0,0,0,0.025374310111545468,1,0,1,1,1
229,0,3,28.0,3,1,0.049707687947515,0,0,1,5,0
230,1,1,35.0,1,0,0.16293234896625058,0,0,1,2,0
231,0,3,29.0,0,0,0.015175789316712771,1,0,1,1,1
232,0,2,59.0,0,0,0.026350245115835676,1,0,1,1,1
233,1,3,5.0,4,2,0.06126431989431795,0,0,1,7,0
234,0,2,24.0,0,0,0.020494635090094415,1,0,1,1,1
235,0,3,28.0,0,0,0.014736618564782174,0,0,1,1,1
236,0,2,44.0,1,0,0.050748620223090936,1,0,1,2,0
237,1,2,8.0,0,2,0.05123658772523604,0,0,1,3,0
238,0,2,19.0,0,0,0.020494635090094415,1,0,1,1,1
239,0,2,33.0,0,0,0.023959204355324663,1,0,1,1,1
240,0,3,28.0,1,0,0.028212719478023115,0,0,0,2,0
241,1,3,28.0,1,0,0.030253985132996517,0,1,0,2,0
242,0,2,29.0,0,0,0.020494635090094415,1,0,1,1,1
243,0,3,22.0,0,0,0.013907073811135496,1,0,1,1,1
244,0,3,30.0,0,0,0.014102260811993537,1,0,0,1,1
245,0,1,44.0,2,0,0.17566830077223786,1,1,0,3,0
246,0,3,25.0,0,0,0.015175789316712771,0,0,1,1,1
247,1,2,24.0,0,2,0.028302115124416098,0,0,1,3,0
248,1,1,37.0,1,1,0.10257896680493714,1,0,1,3,0
249,0,2,54.0,1,0,0.050748620223090936,1,0,1,2,0
250,0,3,28.0,0,0,0.014151057562208049,1,0,1,1,1
251,0,3,29.0,1,1,0.02042143996477265,0,0,1,3,0
252,0,1,62.0,0,0,0.051822148727810165,1,0,1,1,1
253,0,3,30.0,1,0,0.031425107138144774,1,0,1,2,0
254,0,3,41.0,0,2,0.039452172548431745,0,0,1,3,0
255,1,3,29.0,0,2,0.029757819776815374,0,0,0,3,0
256,1,1,28.0,0,0,0.15458810467956932,0,0,0,1,1
257,1,1,30.0,0,0,0.16883675574220638,0,0,1,1,1
258,1,1,35.0,0,0,1.0,0,0,0,1,1
259,1,2,50.0,0,1,0.050748620223090936,0,0,1,2,0
260,0,3,28.0,0,0,0.015126992566498259,1,1,0,1,1
261,1,3,3.0,4,2,0.06126431989431795,1,0,1,7,0
262,0,1,52.0,1,1,0.1554664461834305,1,0,1,3,0
263,0,1,40.0,0,0,0.0,1,0,1,1,1
264,0,3,28.0,0,0,0.015126992566498259,0,1,0,1,1
265,0,2,36.0,0,0,0.020494635090094415,1,0,1,1,1
266,0,3,16.0,4,1,0.07746484096553544,1,0,1,6,0
267,1,3,25.0,1,0,0.015175789316712771,1,0,1,2,0
268,1,1,58.0,0,1,0.2995388511917728,0,0,1,2,0
269,1,1,35.0,0,0,0.2647385704347907,0,0,1,1,1
270,0,1,28.0,0,0,0.060507970265993034,1,0,1,1,1
271,1,3,25.0,0,0,0.0,1,0,1,1,1
272,1,2,41.0,0,1,0.038061465167318204,0,0,1,2,0
273,0,1,37.0,0,1,0.057970539254838485,1,0,0,2,0
274,1,3,28.0,0,0,0.015126992566498259,0,1,0,1,1
275,1,1,63.0,1,0,0.15216446768991498,0,0,1,2,0
276,0,3,45.0,0,0,0.015126992566498259,0,0,1,1,1
277,0,2,28.0,0,0,0.0,1,0,1,1,1
278,0,3,7.0,4,1,0.05684821399990475,1,1,0,6,0
279,1,3,35.0,1,1,0.03952536767375352,0,0,1,3,0
280,0,3,65.0,0,0,0.015126992566498259,1,1,0,1,1
281,0,3,28.0,0,0,0.015330377421392339,1,0,1,1,1
282,0,3,16.0,0,0,0.018542765081513996,1,0,1,1,1
283,1,3,19.0,0,0,0.015712553569072387,1,0,1,1,1
284,0,1,28.0,0,0,0.050748620223090936,1,0,1,1,1
285,0,3,33.0,0,0,0.016908073949327893,1,0,0,1,1
286,1,3,30.0,0,0,0.018542765081513996,1,0,1,1,1
287,0,3,22.0,0,0,0.015411575213749286,1,0,1,1,1
288,1,2,42.0,0,0,0.025374310111545468,1,0,1,1,1
289,1,3,22.0,0,0,0.015126992566498259,0,1,0,1,1
290,1,1,26.0,0,0,0.15390495017656614,0,0,1,1,1
291,1,1,19.0,1,0,0.17777475888549785,0,0,0,2,0
292,0,2,36.0,0,0,0.025130326360472913,1,0,0,1,1
293,0,3,24.0,0,0,0.01727404957593672,0,0,1,1,1
294,0,3,24.0,0,0,0.015411575213749286,1,0,1,1,1
295,0,1,28.0,0,0,0.05410739813385612,1,0,0,1,1
